Element Type,Element Name,Description,Identifier,Data Type
Type,,The class of the discount for combining purposes.,Type: ,N/A
Enum Value,PRODUCT,Combined as a product discount.,"Type: , Enum Value: PRODUCT",N/A
Enum Value,ORDER,Combined as an order discount.,"Type: , Enum Value: ORDER",N/A
Type,,Merchant approval for accelerated onboarding to channel integration apps.,Type: ,N/A
Field,identityVerified,Whether the shop's Shopify Payments account identity is verified. Returns `false` if the identity is unverified or if the shop doesn't have a Shopify Payments account.,"Type: , Field: identityVerified",#<GraphQL::Schema::NonNull:0x00000001061bb938>
Field,verifiedByShopify,Whether Shopify has pre-verified the merchant's business for onboarding to channel integration apps. Returns `false` if the shop is not marked for verification.,"Type: , Field: verifiedByShopify",#<GraphQL::Schema::NonNull:0x00000001061bb488>
Field,verifiedByShopifyTier,Which tier of the Shopify verification was determined for the merchant's business for onboarding to channel integration apps.,"Type: , Field: verifiedByShopifyTier",#<GraphQL::Schema::NonNull:0x00000001061bb0f0>
Type,,"Metafields enable you to attach additional information to a Shopify resource, such as a [Product](https://shopify.dev/api/admin-graphql/latest/objects/product) or a [Collection](https://shopify.dev/api/admin-graphql/latest/objects/collection).
For more information about where you can attach metafields refer to [HasMetafields](https://shopify.dev/api/admin/graphql/reference/common-objects/HasMetafields).
Some examples of the data that metafields enable you to store are specifications, size charts, downloadable documents, release dates, images, or part numbers.
Metafields are identified by an owner resource, namespace, and key. and store a value along with type information for that value.
",Type: ,N/A
Field,createdAt,The date and time when the metafield was created.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x00000001061ba740>
Field,definition,"The metafield definition that the metafield belongs to, if any.","Type: , Field: definition",#<Class:0x0000000106151740>
Field,description,The description of the metafield.,"Type: , Field: description",GraphQL::Types::String
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x00000001061b9db8>
Field,key,The unique identifier for the metafield within its namespace.,"Type: , Field: key",#<GraphQL::Schema::NonNull:0x00000001061b9b60>
Field,legacyResourceId,The ID of the corresponding resource in the REST Admin API.,"Type: , Field: legacyResourceId",#<GraphQL::Schema::NonNull:0x000000010693f3d0>
Field,namespace,"The container for a group of metafields that the metafield is associated with.
","Type: , Field: namespace",#<GraphQL::Schema::NonNull:0x00000001061b9570>
Field,owner,The resource that the metafield is attached to.,"Type: , Field: owner",#<GraphQL::Schema::NonNull:0x00000001061b9318>
Field,ownerType,"The type of resource that the metafield is attached to.
","Type: , Field: ownerType",#<GraphQL::Schema::NonNull:0x0000000106a395d8>
Field,reference,Returns a reference object if the metafield definition's type is a resource reference.,"Type: , Field: reference",#<Class:0x00000001061f23c0>
Field,references,A list of reference objects if the metafield's type is a resource reference list.,"Type: , Field: references",#<Class:0x00000001061f20a0>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: references, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: references, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: references, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: references, Argument: before",GraphQL::Types::String
Field,type,"The type of data that is stored in the metafield.
Refer to the list of [supported types](https://shopify.dev/apps/metafields/types).
","Type: , Field: type",#<GraphQL::Schema::NonNull:0x00000001061b8238>
Field,updatedAt,The date and time when the metafield was updated.,"Type: , Field: updatedAt",#<GraphQL::Schema::NonNull:0x00000001061b7fe0>
Field,value,"The data stored in the metafield. Always stored as a string, regardless of the metafield's type.
","Type: , Field: value",#<GraphQL::Schema::NonNull:0x00000001061b7c70>
Type,,The access settings for this metafield definition.,Type: ,N/A
Field,admin,The admin access setting used for the metafields under this definition.,"Type: , Field: admin",#<Class:0x0000000106151ce0>
Type,,"The input fields for the access settings for the metafields under the definition.
",Type: ,N/A
Type,,Possible admin access settings for metafields.,Type: ,N/A
Enum Value,PRIVATE,Owner gets full access. No one else has access rights.,"Type: , Enum Value: PRIVATE",N/A
Enum Value,PUBLIC_READ,Owner gets full access. All applications and the merchant have read-only access.,"Type: , Enum Value: PUBLIC_READ",N/A
Enum Value,MERCHANT_READ,Owner gets full access. The merchant has read-only access. No one else has access rights.,"Type: , Enum Value: MERCHANT_READ",N/A
Enum Value,MERCHANT_READ_WRITE,Owner gets full access. The merchant has read and write access. No one else has access rights.,"Type: , Enum Value: MERCHANT_READ_WRITE",N/A
Type,,"An auto-generated type for paginating through multiple Metafields.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x0000000106a38f48>
Field,nodes,A list of the nodes contained in MetafieldEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x00000001061b5920>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,"Metafield definitions enable you to define additional validation constraints for metafields, and enable the
merchant to edit metafield values in context.
",Type: ,N/A
Field,access,The access settings associated with the metafield definition.,"Type: , Field: access",#<GraphQL::Schema::NonNull:0x00000001061b4fc0>
Field,description,The description of the metafield definition.,"Type: , Field: description",GraphQL::Types::String
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x00000001061b4958>
Field,key,The unique identifier for the metafield definition within its namespace.,"Type: , Field: key",#<GraphQL::Schema::NonNull:0x00000001061b4700>
Field,metafields,The metafields that belong to the metafield definition.,"Type: , Field: metafields",#<GraphQL::Schema::NonNull:0x00000001061b4480>
Argument,validationStatus,Returns the metafields filtered by the validation status.,"Type: , Field: metafields, Argument: validationStatus",#<Class:0x000000010639ecf0>
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: metafields, Argument: first",GraphQL::Types::Int
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: metafields, Argument: after",GraphQL::Types::String
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: metafields, Argument: last",GraphQL::Types::Int
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: metafields, Argument: before",GraphQL::Types::String
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: metafields, Argument: reverse",GraphQL::Types::Boolean
Field,metafieldsCount,The count of the metafields that belong to the metafield definition.,"Type: , Field: metafieldsCount",#<GraphQL::Schema::NonNull:0x00000001061b2798>
Argument,validationStatus,The current validation status.,"Type: , Field: metafieldsCount, Argument: validationStatus",#<Class:0x000000010639ecf0>
Field,name,The human-readable name of the metafield definition.,"Type: , Field: name",#<GraphQL::Schema::NonNull:0x00000001061b2158>
Field,namespace,The container for a group of metafields that the metafield definition is associated with.,"Type: , Field: namespace",#<GraphQL::Schema::NonNull:0x00000001061b1f00>
Field,ownerType,The resource type that the metafield definition is attached to.,"Type: , Field: ownerType",#<GraphQL::Schema::NonNull:0x0000000106a395d8>
Field,pinnedPosition,The position of the metafield definition in the pinned list.,"Type: , Field: pinnedPosition",GraphQL::Types::Int
Field,standardTemplate,The standard metafield definition template associated with the metafield definition.,"Type: , Field: standardTemplate",#<Class:0x00000001064d4930>
Field,type,"The type of data that each of the metafields that belong to the metafield definition will store.
Refer to the list of [supported types](https://shopify.dev/apps/metafields/types).
","Type: , Field: type",#<GraphQL::Schema::NonNull:0x0000000106a38cc8>
Field,useAsCollectionCondition,Whether the metafield definition can be used as a collection condition.,"Type: , Field: useAsCollectionCondition",#<GraphQL::Schema::NonNull:0x00000001061b0f60>
Field,validationStatus,The validation status for the metafields that belong to the metafield definition.,"Type: , Field: validationStatus",#<GraphQL::Schema::NonNull:0x0000000106a38c00>
Field,validations,"A list of [validation options](https://shopify.dev/apps/metafields/definitions/validation) for
the metafields that belong to the metafield definition. For example, for a metafield definition with the
type `date`, you can set a minimum date validation so that each of the metafields that belong to it can only
store dates after the specified minimum.
","Type: , Field: validations",#<GraphQL::Schema::NonNull:0x0000000106a38ac0>
Field,visibleToStorefrontApi,"Whether each of the metafields that belong to the metafield definition are visible from the Storefront API.
","Type: , Field: visibleToStorefrontApi",#<GraphQL::Schema::NonNull:0x00000001061b04c0>
Type,,"An auto-generated type for paginating through multiple MetafieldDefinitions.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x0000000106a385e8>
Field,nodes,A list of the nodes contained in MetafieldDefinitionEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x00000001061df9c8>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,Return type for `metafieldDefinitionCreate` mutation.,Type: ,N/A
Field,createdDefinition,The metafield definition that was created.,"Type: , Field: createdDefinition",#<Class:0x0000000106151740>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x0000000106a38458>
Type,,An error that occurs during the execution of `MetafieldDefinitionCreate`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001061fff20>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x00000001061de028>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x00000001061dddd0>
Type,,Possible error codes that can be returned by `MetafieldDefinitionCreateUserError`.,Type: ,N/A
Enum Value,INVALID,The input value is invalid.,"Type: , Enum Value: INVALID",N/A
Enum Value,INCLUSION,The input value isn't included in the list.,"Type: , Enum Value: INCLUSION",N/A
Enum Value,PRESENT,The input value needs to be blank.,"Type: , Enum Value: PRESENT",N/A
Enum Value,TAKEN,The input value is already taken.,"Type: , Enum Value: TAKEN",N/A
Enum Value,TOO_LONG,The input value is too long.,"Type: , Enum Value: TOO_LONG",N/A
Enum Value,TOO_SHORT,The input value is too short.,"Type: , Enum Value: TOO_SHORT",N/A
Enum Value,RESOURCE_TYPE_LIMIT_EXCEEDED,The definition limit per owner type has exceeded.,"Type: , Enum Value: RESOURCE_TYPE_LIMIT_EXCEEDED",N/A
Enum Value,LIMIT_EXCEEDED,The maximum limit of definitions per owner type has exceeded.,"Type: , Enum Value: LIMIT_EXCEEDED",N/A
Enum Value,INVALID_OPTION,An invalid option.,"Type: , Enum Value: INVALID_OPTION",N/A
Enum Value,DUPLICATE_OPTION,A duplicate option.,"Type: , Enum Value: DUPLICATE_OPTION",N/A
Enum Value,RESERVED_NAMESPACE_KEY,This namespace and key combination is reserved for standard definitions.,"Type: , Enum Value: RESERVED_NAMESPACE_KEY",N/A
Enum Value,PINNED_LIMIT_REACHED,The pinned limit has been reached for the owner type.,"Type: , Enum Value: PINNED_LIMIT_REACHED",N/A
Enum Value,UNSTRUCTURED_ALREADY_EXISTS,This namespace and key combination is already in use for a set of your metafields.,"Type: , Enum Value: UNSTRUCTURED_ALREADY_EXISTS",N/A
Enum Value,INVALID_CHARACTER,A field contains an invalid character.,"Type: , Enum Value: INVALID_CHARACTER",N/A
Enum Value,TYPE_NOT_ALLOWED_FOR_CONDITIONS,The definition type is not eligible to be used as collection condition.,"Type: , Enum Value: TYPE_NOT_ALLOWED_FOR_CONDITIONS",N/A
Enum Value,OWNER_TYPE_LIMIT_EXCEEDED_FOR_AUTOMATED_COLLECTIONS,You have reached the maximum allowed definitions for automated collections.,"Type: , Enum Value: OWNER_TYPE_LIMIT_EXCEEDED_FOR_AUTOMATED_COLLECTIONS",N/A
Type,,Return type for `metafieldDefinitionDelete` mutation.,Type: ,N/A
Field,deletedDefinitionId,The ID of the deleted metafield definition.,"Type: , Field: deletedDefinitionId",GraphQL::Types::ID
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x0000000106a382c8>
Type,,An error that occurs during the execution of `MetafieldDefinitionDelete`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001061feee0>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x00000001061db2d8>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x00000001061db080>
Type,,Possible error codes that can be returned by `MetafieldDefinitionDeleteUserError`.,Type: ,N/A
Enum Value,PRESENT,The input value needs to be blank.,"Type: , Enum Value: PRESENT",N/A
Enum Value,NOT_FOUND,Definition not found.,"Type: , Enum Value: NOT_FOUND",N/A
Enum Value,INTERNAL_ERROR,An internal error occurred.,"Type: , Enum Value: INTERNAL_ERROR",N/A
Enum Value,REFERENCE_TYPE_DELETION_ERROR,Deleting a reference type metafield definition requires deletion of its associated metafields.,"Type: , Enum Value: REFERENCE_TYPE_DELETION_ERROR",N/A
Enum Value,METAFIELD_DEFINITION_IN_USE,Action cannot proceed. Definition is currently in use.,"Type: , Enum Value: METAFIELD_DEFINITION_IN_USE",N/A
Enum Value,DISALLOWED_OWNER_TYPE,Owner type can't be used in this mutation.,"Type: , Enum Value: DISALLOWED_OWNER_TYPE",N/A
Type,,"An auto-generated type which holds one MetafieldDefinition and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x00000001061da270>
Field,node,The item at the end of MetafieldDefinitionEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x00000001061d9eb0>
Type,,"The input fields required to create a metafield definition.
",Type: ,N/A
Type,,Return type for `metafieldDefinitionPin` mutation.,Type: ,N/A
Field,pinnedDefinition,The metafield definition that was pinned.,"Type: , Field: pinnedDefinition",#<Class:0x0000000106151740>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x0000000106a37ff8>
Type,,An error that occurs during the execution of `MetafieldDefinitionPin`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001061faf20>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x00000001061d19e0>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x00000001061d1788>
Type,,Possible error codes that can be returned by `MetafieldDefinitionPinUserError`.,Type: ,N/A
Enum Value,NOT_FOUND,The metafield definition was not found.,"Type: , Enum Value: NOT_FOUND",N/A
Enum Value,PINNED_LIMIT_REACHED,The pinned limit has been reached for owner type.,"Type: , Enum Value: PINNED_LIMIT_REACHED",N/A
Enum Value,ALREADY_PINNED,The metafield definition is already pinned.,"Type: , Enum Value: ALREADY_PINNED",N/A
Enum Value,INTERNAL_ERROR,An internal error occurred.,"Type: , Enum Value: INTERNAL_ERROR",N/A
Enum Value,DISALLOWED_OWNER_TYPE,Owner type can't be used in this mutation.,"Type: , Enum Value: DISALLOWED_OWNER_TYPE",N/A
Type,,Possible metafield definition pinned statuses.,Type: ,N/A
Enum Value,ANY,All metafield definitions.,"Type: , Enum Value: ANY",N/A
Enum Value,PINNED,Only metafield definitions that are pinned.,"Type: , Enum Value: PINNED",N/A
Enum Value,UNPINNED,Only metafield definitions that are not pinned.,"Type: , Enum Value: UNPINNED",N/A
Type,,The set of valid sort keys for the MetafieldDefinition query.,Type: ,N/A
Enum Value,ID,Sort by the `id` value.,"Type: , Enum Value: ID",N/A
Enum Value,NAME,Sort by the `name` value.,"Type: , Enum Value: NAME",N/A
Enum Value,PINNED_POSITION,Sort by the `pinned_position` value.,"Type: , Enum Value: PINNED_POSITION",N/A
Enum Value,RELEVANCE,"Sort by relevance to the search terms when the `query` parameter is specified on the connection.
Don't use this sort key when no search query is specified.
","Type: , Enum Value: RELEVANCE",N/A
Type,,"The type and name for the optional validation configuration of a metafield.

For example, a supported validation might consist of a `max` name and a `number_integer` type.
This validation can then be used to enforce a maximum character length for a `single_line_text_field` metafield.
",Type: ,N/A
Field,name,The name of the metafield definition validation.,"Type: , Field: name",#<GraphQL::Schema::NonNull:0x000000010631fc20>
Field,type,The type of input for the validation.,"Type: , Field: type",#<GraphQL::Schema::NonNull:0x000000010631f860>
Type,,"A metafield definition type provides basic foundation and validation for a metafield.
",Type: ,N/A
Field,category,The category associated with the metafield definition type.,"Type: , Field: category",#<GraphQL::Schema::NonNull:0x000000010631f3d8>
Field,name,"The name of the type for the metafield definition.
See the list of [supported types](https://shopify.dev/apps/metafields/types).
","Type: , Field: name",#<GraphQL::Schema::NonNull:0x000000010631eff0>
Field,supportedValidations,The supported validations for a metafield definition type.,"Type: , Field: supportedValidations",#<GraphQL::Schema::NonNull:0x000000010631ed20>
Field,supportsDefinitionMigrations,Whether metafields without a definition can be migrated to a definition of this type.,"Type: , Field: supportsDefinitionMigrations",#<GraphQL::Schema::NonNull:0x000000010631e9d8>
Field,valueType,The value type for a metafield created with this definition type.,"Type: , Field: valueType",#<GraphQL::Schema::NonNull:0x0000000106a37eb8>
Type,,Return type for `metafieldDefinitionUnpin` mutation.,Type: ,N/A
Field,unpinnedDefinition,The metafield definition that was unpinned.,"Type: , Field: unpinnedDefinition",#<Class:0x0000000106151740>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x0000000106a37d78>
Type,,An error that occurs during the execution of `MetafieldDefinitionUnpin`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001061f9300>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x000000010631cb60>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x000000010631c908>
Type,,Possible error codes that can be returned by `MetafieldDefinitionUnpinUserError`.,Type: ,N/A
Enum Value,NOT_FOUND,The metafield definition was not found.,"Type: , Enum Value: NOT_FOUND",N/A
Enum Value,NOT_PINNED,The metafield definition isn't pinned.,"Type: , Enum Value: NOT_PINNED",N/A
Enum Value,INTERNAL_ERROR,An internal error occurred.,"Type: , Enum Value: INTERNAL_ERROR",N/A
Enum Value,DISALLOWED_OWNER_TYPE,Owner type can't be used in this mutation.,"Type: , Enum Value: DISALLOWED_OWNER_TYPE",N/A
Type,,"The input fields required to update a metafield definition.
",Type: ,N/A
Type,,Return type for `metafieldDefinitionUpdate` mutation.,Type: ,N/A
Field,updatedDefinition,The metafield definition that was updated.,"Type: , Field: updatedDefinition",#<Class:0x0000000106151740>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x0000000106a37b48>
Field,validationJob,The asynchronous job updating the metafield definition's validation_status.,"Type: , Field: validationJob",#<Class:0x0000000105c9a148>
Type,,An error that occurs during the execution of `MetafieldDefinitionUpdate`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x00000001061f5a20>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000106314b90>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x0000000106314938>
Type,,Possible error codes that can be returned by `MetafieldDefinitionUpdateUserError`.,Type: ,N/A
Enum Value,PRESENT,The input value needs to be blank.,"Type: , Enum Value: PRESENT",N/A
Enum Value,TOO_LONG,The input value is too long.,"Type: , Enum Value: TOO_LONG",N/A
Enum Value,NOT_FOUND,The metafield definition wasn't found.,"Type: , Enum Value: NOT_FOUND",N/A
Enum Value,INVALID_INPUT,An invalid input.,"Type: , Enum Value: INVALID_INPUT",N/A
Enum Value,PINNED_LIMIT_REACHED,The pinned limit has been reached for the owner type.,"Type: , Enum Value: PINNED_LIMIT_REACHED",N/A
Enum Value,INTERNAL_ERROR,An internal error occurred.,"Type: , Enum Value: INTERNAL_ERROR",N/A
Enum Value,TYPE_NOT_ALLOWED_FOR_CONDITIONS,The definition type is not eligible to be used as collection condition.,"Type: , Enum Value: TYPE_NOT_ALLOWED_FOR_CONDITIONS",N/A
Enum Value,METAFIELD_DEFINITION_IN_USE,Action cannot proceed. Definition is currently in use.,"Type: , Enum Value: METAFIELD_DEFINITION_IN_USE",N/A
Enum Value,OWNER_TYPE_LIMIT_EXCEEDED_FOR_AUTOMATED_COLLECTIONS,You have reached the maximum allowed definitions for automated collections.,"Type: , Enum Value: OWNER_TYPE_LIMIT_EXCEEDED_FOR_AUTOMATED_COLLECTIONS",N/A
Type,,"A configured metafield definition validation.

For example, for a metafield definition of `number_integer` type, you can set a validation with the name `max`
and a value of `15`. This validation will ensure that the value of the metafield is a number less than or equal to 15.

Refer to the [list of supported validations](https://shopify.dev/api/admin/graphql/reference/common-objects/metafieldDefinitionTypes#examples-Fetch_all_metafield_definition_types).
",Type: ,N/A
Field,name,The validation name.,"Type: , Field: name",#<GraphQL::Schema::NonNull:0x00000001063137e0>
Field,type,The name for the metafield type of this validation.,"Type: , Field: type",#<GraphQL::Schema::NonNull:0x0000000106313420>
Field,value,The validation value.,"Type: , Field: value",GraphQL::Types::String
Type,,"The name and value for a metafield definition validation.

For example, for a metafield definition of `single_line_text_field` type, you can set a validation with the name `min` and a value of `10`.
This validation will ensure that the value of the metafield is at least 10 characters.

Refer to the [list of supported validations](https://shopify.dev/api/admin/graphql/reference/common-objects/metafieldDefinitionTypes#examples-Fetch_all_metafield_definition_types).
",Type: ,N/A
Type,,Possible metafield definition validation statuses.,Type: ,N/A
Enum Value,ALL_VALID,All of this definition's metafields are valid.,"Type: , Enum Value: ALL_VALID",N/A
Enum Value,IN_PROGRESS,Asynchronous validation of this definition's metafields is in progress.,"Type: , Enum Value: IN_PROGRESS",N/A
Enum Value,SOME_INVALID,Some of this definition's metafields are invalid.,"Type: , Enum Value: SOME_INVALID",N/A
Type,,The input fields to delete a metafield.,Type: ,N/A
Type,,Return type for `metafieldDelete` mutation.,Type: ,N/A
Field,deletedId,The ID of the deleted metafield.,"Type: , Field: deletedId",GraphQL::Types::ID
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068f5e38>
Type,,"An auto-generated type which holds one Metafield and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x000000010637ffa8>
Field,node,The item at the end of MetafieldEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x000000010637fbe8>
Type,,"The input fields to use to create or update a metafield through a mutation on the owning resource.
An alternative way to create or update a metafield is by using the
[metafieldsSet](https://shopify.dev/api/admin-graphql/latest/mutations/metafieldsSet) mutation.
",Type: ,N/A
Type,,Possible types of a metafield's owner resource.,Type: ,N/A
Enum Value,API_PERMISSION,The Api Permission metafield owner type.,"Type: , Enum Value: API_PERMISSION",N/A
Enum Value,COMPANY,The Company metafield owner type.,"Type: , Enum Value: COMPANY",N/A
Enum Value,COMPANY_LOCATION,The Company Location metafield owner type.,"Type: , Enum Value: COMPANY_LOCATION",N/A
Enum Value,PAYMENT_CUSTOMIZATION,The Payment Customization metafield owner type.,"Type: , Enum Value: PAYMENT_CUSTOMIZATION",N/A
Enum Value,CUSTOMER,The Customer metafield owner type.,"Type: , Enum Value: CUSTOMER",N/A
Enum Value,DELIVERY_CUSTOMIZATION,The Delivery Customization metafield owner type.,"Type: , Enum Value: DELIVERY_CUSTOMIZATION",N/A
Enum Value,DRAFTORDER,The Draft Order metafield owner type.,"Type: , Enum Value: DRAFTORDER",N/A
Enum Value,MARKET,The Market metafield owner type.,"Type: , Enum Value: MARKET",N/A
Enum Value,COLLECTION,The Collection metafield owner type.,"Type: , Enum Value: COLLECTION",N/A
Enum Value,MEDIA_IMAGE,The Media Image metafield owner type.,"Type: , Enum Value: MEDIA_IMAGE",N/A
Enum Value,PRODUCTIMAGE,The Product Image metafield owner type.,"Type: , Enum Value: PRODUCTIMAGE",N/A
Enum Value,PRODUCT,The Product metafield owner type.,"Type: , Enum Value: PRODUCT",N/A
Enum Value,PRODUCTVARIANT,The Product Variant metafield owner type.,"Type: , Enum Value: PRODUCTVARIANT",N/A
Enum Value,ARTICLE,The Article metafield owner type.,"Type: , Enum Value: ARTICLE",N/A
Enum Value,BLOG,The Blog metafield owner type.,"Type: , Enum Value: BLOG",N/A
Enum Value,PAGE,The Page metafield owner type.,"Type: , Enum Value: PAGE",N/A
Enum Value,DISCOUNT,The Discount metafield owner type.,"Type: , Enum Value: DISCOUNT",N/A
Enum Value,ORDER,The Order metafield owner type.,"Type: , Enum Value: ORDER",N/A
Enum Value,LOCATION,The Location metafield owner type.,"Type: , Enum Value: LOCATION",N/A
Enum Value,SHOP,The Shop metafield owner type.,"Type: , Enum Value: SHOP",N/A
Type,,"The resource referenced by the metafield value.
",Type: ,N/A
Type,,"An auto-generated type for paginating through multiple MetafieldReferences.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x0000000106a37468>
Field,nodes,A list of the nodes contained in MetafieldReferenceEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x000000010637a648>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,"An auto-generated type which holds one MetafieldReference and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x0000000106379e28>
Field,node,The item at the end of MetafieldReferenceEdge.,"Type: , Field: node",#<Class:0x00000001061f23c0>
Type,,"Types of resources that may use metafields to reference other resources.
",Type: ,N/A
Type,,"Defines a relation between two resources via a reference metafield.
The referencer owns the joining field with a given namespace and key,
while the target is referenced by the field.
",Type: ,N/A
Field,key,The key of the field making the reference.,"Type: , Field: key",#<GraphQL::Schema::NonNull:0x00000001063785f0>
Field,name,The name of the field making the reference.,"Type: , Field: name",#<GraphQL::Schema::NonNull:0x0000000106378230>
Field,namespace,"The namespace of the metafield making the reference, or type of the metaobject.","Type: , Field: namespace",#<GraphQL::Schema::NonNull:0x0000000106377fd8>
Field,referencer,The resource making the reference.,"Type: , Field: referencer",#<GraphQL::Schema::NonNull:0x0000000106377d58>
Field,target,The referenced resource.,"Type: , Field: target",#<GraphQL::Schema::NonNull:0x0000000106377a88>
Type,,"An auto-generated type for paginating through multiple MetafieldRelations.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x0000000106a36a90>
Field,nodes,A list of the nodes contained in MetafieldRelationEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x0000000106377128>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,"An auto-generated type which holds one MetafieldRelation and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x0000000106376908>
Field,node,The item at the end of MetafieldRelationEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x0000000106376548>
Type,,"By default, the Storefront API can't read metafields. To make specific metafields visible in the Storefront API,
you need to create a `MetafieldStorefrontVisibility` record. A `MetafieldStorefrontVisibility` record is a list
of the metafields, defined by the `owner_type`, `namespace`, and `key`, to make visible in the Storefront API.

Learn about [exposing metafields in the Storefront API]
(https://shopify.dev/custom-storefronts/products-collections/metafields)
for more details.
",Type: ,N/A
Field,createdAt,The date and time when the metafield was set to visible in the Storefront API.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x0000000106375d50>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000106375878>
Field,key,The key of a metafield to make visible in the Storefront API.,"Type: , Field: key",#<GraphQL::Schema::NonNull:0x0000000106375620>
Field,legacyResourceId,The ID of the corresponding resource in the REST Admin API.,"Type: , Field: legacyResourceId",#<GraphQL::Schema::NonNull:0x000000010693f3d0>
Field,namespace,The namespace of a metafield to make visible in the Storefront API.,"Type: , Field: namespace",#<GraphQL::Schema::NonNull:0x0000000106375030>
